                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                 4.1966,                 3.1221,                 4.6738,                 4.2014,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.7998,                 1.7106,                 4.6633,                 4.1424,               0.070492,              0.0032787,              0.0032787
                      1,                 4.2533,                 1.8204,                 4.5881,                 4.1279,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5593,                 1.6168,                 4.5717,                 3.9979,                0.04023,              0.0063502,              0.0063502
                      2,                 3.9023,                 1.6072,                 3.9861,                 3.7629,               0.017094,               0.079235,               0.010622,              0.0037886,               0.017892,                0.07758,               0.011871,              0.0035622,                 3.7676,                  3.477,                    inf,                 3.9429,              0.0097041,              0.0091577,              0.0091577
                      3,                 3.2123,                 1.4761,                 3.0973,                  3.116,                0.40916,                0.07185,               0.034555,              0.0097905,                0.42498,               0.098373,               0.039055,              0.0096903,                 2.7991,                 1.4718,                 3.2375,                 3.0547,               0.008812,               0.008812,               0.008812
                      4,                 2.8203,                 1.3803,                 2.8056,                  2.625,                0.11432,                0.24939,                0.10285,               0.040818,                0.11105,                0.25704,               0.097222,               0.032137,                 2.2886,                 1.2804,                 2.7405,                 2.5431,               0.008812,               0.008812,               0.008812
                      5,                 2.5507,                 1.3374,                 2.6128,                 2.3161,                0.13944,                0.34763,                0.16811,               0.074372,                0.11871,                0.28196,                 0.1296,               0.041915,                 2.0635,                 1.2222,                 2.3682,                   2.31,               0.008416,               0.008416,               0.008416
                      6,                 2.3199,                 1.2854,                 2.4348,                  2.125,                0.17679,                0.62852,                0.24973,                0.11734,                 0.2169,                0.41958,                0.24754,               0.092905,                 1.7729,                 1.1675,                 2.2501,                  2.101,                0.00802,                0.00802,                0.00802
                      7,                 2.1538,                 1.2576,                 2.2912,                 2.0067,                0.20573,                0.46544,                0.27023,                0.12636,                0.20307,                0.45867,                0.26179,                0.10782,                 1.7729,                 1.1265,                 2.1756,                 2.0565,               0.007624,               0.007624,               0.007624
                      8,                 2.0728,                 1.2207,                 2.1923,                 1.9082,                0.25393,                0.45273,                0.30552,                0.14605,                0.25501,                0.44901,                 0.3041,                0.12595,                 1.7792,                 1.1157,                 2.0901,                 2.0204,               0.007228,               0.007228,               0.007228
                      9,                 1.9551,                 1.1859,                 2.0594,                 1.8052,                0.28127,                0.53167,                0.37272,                0.20872,                0.27375,                0.50625,                0.36118,                0.14995,                 1.4423,                 1.0695,                 1.8503,                 1.7789,               0.006832,               0.006832,               0.006832
                     10,                 1.8939,                 1.1672,                 2.0168,                 1.7671,                0.33296,                0.47723,                 0.3749,                0.20088,                0.32442,                0.46282,                0.36793,                0.15189,                 1.5811,                  1.072,                 1.9314,                 1.8515,               0.006436,               0.006436,               0.006436
                     11,                 1.8608,                 1.1513,                 1.9755,                 1.7346,                0.38158,                0.56775,                0.44905,                0.26409,                0.37697,                0.55226,                0.43206,                0.18722,                 1.3825,                 1.0091,                 1.6317,                 1.7171,                0.00604,                0.00604,                0.00604
                     12,                 1.7745,                 1.1133,                 1.8708,                  1.683,                0.40389,                0.53557,                0.45846,                0.28074,                0.40156,                0.52557,                0.44854,                0.19904,                 1.3632,                  1.002,                 1.6814,                 1.7015,               0.005644,               0.005644,               0.005644
                     13,                 1.7526,                 1.1136,                 1.8317,                 1.6655,                0.44967,                0.61692,                0.53329,                0.31997,                0.44207,                0.60571,                0.51779,                0.22482,                 1.3156,                 0.9736,                 1.5316,                 1.6586,               0.005248,               0.005248,               0.005248
                     14,                 1.7207,                  1.092,                  1.787,                  1.632,                0.48966,                0.63342,                0.53867,                0.34786,                0.48262,                0.61935,                0.52322,                0.24362,                 1.2532,                0.93125,                 1.5486,                 1.6204,               0.004852,               0.004852,               0.004852
                     15,                  1.485,                 1.0593,                 1.7859,                 1.6698,                0.55832,                0.62662,                0.58815,                0.37462,                0.54719,                0.60772,                0.55941,                0.24823,                 1.2879,                0.93249,                 1.4775,                 1.6391,               0.004456,               0.004456,               0.004456
                     16,                 1.4466,                 1.0187,                 1.6633,                 1.6111,                0.53111,                 0.6383,                 0.6015,                0.37932,                0.50082,                0.64175,                0.57258,                0.25339,                   1.24,                0.90936,                 1.3822,                 1.5891,                0.00406,                0.00406,                0.00406
                     17,                 1.4284,                 0.9982,                  1.583,                 1.6022,                0.54697,                0.64268,                0.63807,                0.41589,                0.53395,                0.63034,                0.61629,                0.29826,                 1.1998,                0.90293,                 1.2651,                 1.5649,               0.003664,               0.003664,               0.003664
                     18,                 1.3931,                0.96995,                 1.5106,                 1.5896,                0.54242,                0.70741,                0.65465,                 0.4235,                0.53181,                0.69672,                0.63857,                0.30214,                 1.1906,                0.89025,                 1.3191,                 1.5594,               0.003268,               0.003268,               0.003268
                     19,                 1.3737,                0.97296,                 1.4571,                 1.5917,                0.63331,                0.71041,                0.71307,                0.46029,                0.62237,                0.69878,                0.69328,                0.33219,                 1.1772,                0.86557,                 1.1749,                 1.5441,               0.002872,               0.002872,               0.002872
                     20,                   1.34,                0.95692,                 1.4362,                  1.552,                0.59061,                0.75672,                0.73693,                0.47946,                0.58217,                 0.7447,                0.72027,                 0.3507,                 1.1745,                0.86199,                  1.206,                 1.5427,               0.002476,               0.002476,               0.002476
                     21,                 1.3673,                0.94591,                 1.4134,                 1.5546,                0.51979,                0.72216,                0.63286,                0.42151,                0.51511,                0.70977,                0.62315,                0.32446,                 1.1505,                0.84472,                 1.3587,                  1.529,                0.00208,                0.00208,                0.00208
                     22,                 1.3229,                0.92816,                 1.3476,                 1.5227,                0.68564,                0.74128,                0.77145,                0.51475,                0.67858,                0.73284,                 0.7547,                0.38048,                 1.1273,                0.82943,                 1.0576,                 1.5077,               0.001684,               0.001684,               0.001684
                     23,                 1.2953,                0.92802,                  1.325,                 1.5281,                0.65755,                 0.7585,                0.75435,                0.50193,                 0.6484,                0.74488,                0.73834,                 0.3777,                 1.1272,                0.83063,                 1.0844,                 1.5046,               0.001288,               0.001288,               0.001288
                     24,                 1.3078,                 0.9087,                 1.2617,                 1.5121,                0.70938,                 0.7752,                0.79527,                0.53878,                0.70096,                0.76456,                0.77967,                0.40221,                 1.1078,                0.81924,                 1.0194,                 1.4954,               0.000892,               0.000892,               0.000892
                     25,                0.70955,                0.77666,                0.79533,                 0.5387,                0.70129,                0.76466,                0.77958,                0.40236,                 1.1077,                0.81919,                 1.0194,                 1.4954
